[2024-05-21T09:34:08.506+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_423301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_423301.csv, skipping download.
[2024-05-21T09:34:08.510+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_419301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_419301.csv, skipping download.
[2024-05-21T09:34:08.514+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_418000.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_418000.csv, skipping download.
[2024-05-21T09:34:08.518+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_417201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_417201.csv, skipping download.
[2024-05-21T09:34:08.523+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_416000.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_416000.csv, skipping download.
[2024-05-21T09:34:08.527+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_415301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_415301.csv, skipping download.
[2024-05-21T09:34:08.537+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_414000.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_414000.csv, skipping download.
[2024-05-21T09:34:08.542+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_411000.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_411000.csv, skipping download.
[2024-05-21T09:34:08.546+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_410201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_410201.csv, skipping download.
[2024-05-21T09:34:08.550+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_409301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_409301.csv, skipping download.
[2024-05-21T09:34:08.554+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_407501.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_407501.csv, skipping download.
[2024-05-21T09:34:08.557+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_406201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_406201.csv, skipping download.
[2024-05-21T09:34:08.561+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_405201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_405201.csv, skipping download.
[2024-05-21T09:34:08.566+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_403201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_403201.csv, skipping download.
[2024-05-21T09:34:08.570+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_402301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_402301.csv, skipping download.
